time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-02 00:00:00+00:00,,,4,3
2022-11-03 00:00:00+00:00,2.0,1.0,4,2
2022-11-04 00:00:00+00:00,1.0,1.0,1,1
2022-11-05 00:00:00+00:00,1.0,1.0,1,1
2022-11-06 00:00:00+00:00,,,5,5
2022-11-07 00:00:00+00:00,1.0,1.0,4,1
2022-11-08 00:00:00+00:00,1.0,1.0,2,2
2022-11-09 00:00:00+00:00,5.0,5.0,3,2
2022-11-10 00:00:00+00:00,4.0,3.0,13,1
2022-11-11 00:00:00+00:00,4.0,3.0,3,2
2022-11-12 00:00:00+00:00,,,6,2
2022-11-13 00:00:00+00:00,,,4,2
2022-11-14 00:00:00+00:00,1.0,1.0,6,3
2022-11-15 00:00:00+00:00,,,5,4
