url_path,views_total,views_unique
/tom-doerr/zsh_codex,277,155
/tom-doerr/zsh_codex/blob/main/create_completion.py,21,17
/tom-doerr/zsh_codex/issues,19,12
/tom-doerr/zsh_codex/issues/1,7,7
/tom-doerr/zsh_codex/blob/main/zsh_codex.plugin.zsh,3,3
/tom-doerr/zsh_codex/blob/main/README.md,2,2
/tom-doerr/zsh_codex/commit/456db1a053e432ea5108250180f57a6e9029839e,2,2
/tom-doerr/zsh_codex/issues/13,2,2
/tom-doerr/zsh_codex/search,2,2
/tom-doerr/zsh_codex/blob/456db1a053e432ea5108250180f57a6e9029839e/README.md,2,1
