url_path,views_total,views_unique
/tom-doerr/zsh_codex,121,66
/tom-doerr/zsh_codex/blob/main/create_completion.py,17,13
/tom-doerr/zsh_codex/blob/main/zsh_codex.plugin.zsh,15,11
/tom-doerr/zsh_codex/issues,8,2
/tom-doerr/zsh_codex/commits/main,3,2
/tom-doerr/zsh_codex/issues/5,3,2
/tom-doerr/zsh_codex/blob/main/README.md,2,2
/tom-doerr/zsh_codex/pulls,2,1
/tom-doerr/zsh_codex/commit/15bdb44909b843ec79302f61297d8ada67f7006d,1,1
/tom-doerr/zsh_codex/commit/1a16850331fdff252e9295fb878d6dda21dc4f84,1,1
