time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-12 00:00:00+00:00,3,3,22,18
2023-05-13 00:00:00+00:00,6,4,22,13
2023-05-14 00:00:00+00:00,5,3,31,12
2023-05-15 00:00:00+00:00,6,4,43,21
2023-05-16 00:00:00+00:00,11,9,29,12
2023-05-17 00:00:00+00:00,8,6,55,16
2023-05-18 00:00:00+00:00,5,5,21,15
2023-05-19 00:00:00+00:00,3,3,33,9
2023-05-20 00:00:00+00:00,5,3,28,5
2023-05-21 00:00:00+00:00,7,4,42,11
2023-05-22 00:00:00+00:00,2,2,20,15
2023-05-23 00:00:00+00:00,3,3,27,16
2023-05-24 00:00:00+00:00,15,11,29,12
2023-05-25 00:00:00+00:00,5,5,38,15
