time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-09 00:00:00+00:00,23,16,90,49
2022-12-10 00:00:00+00:00,6,4,41,28
2022-12-11 00:00:00+00:00,7,6,50,30
2022-12-12 00:00:00+00:00,13,7,68,29
2022-12-13 00:00:00+00:00,15,9,107,40
2022-12-14 00:00:00+00:00,17,11,49,33
2022-12-15 00:00:00+00:00,22,12,75,37
2022-12-16 00:00:00+00:00,18,11,38,21
2022-12-17 00:00:00+00:00,11,10,52,22
2022-12-18 00:00:00+00:00,7,5,8,8
2022-12-19 00:00:00+00:00,20,12,42,22
2022-12-20 00:00:00+00:00,19,10,67,26
2022-12-21 00:00:00+00:00,13,5,26,13
2022-12-22 00:00:00+00:00,16,9,54,24
