url_path,views_total,views_unique
/tom-doerr/zsh_codex,189,132
/tom-doerr/zsh_codex/blob/main/create_completion.py,18,9
/tom-doerr/zsh_codex/issues,11,6
/tom-doerr/zsh_codex/issues/16,9,7
/tom-doerr/zsh_codex/blob/main/zsh_codex.plugin.zsh,9,4
/tom-doerr/zsh_codex/compare/main...andreicozma1:zsh_codex:sourcery/main,8,1
/tom-doerr/zsh_codex/compare/main...tzutalin:zsh_codex:main,8,1
/tom-doerr/zsh_codex/issues/1,7,3
/tom-doerr/zsh_codex/compare/main...huaxiabuluo:zsh_codex:main,5,1
/tom-doerr/zsh_codex/blob/7858a610050ea29cc85977ba80e87e4bbb34f46f/create_completion.py,4,2
