url_path,views_total,views_unique
/tom-doerr/codex-readme,81,56
/tom-doerr/codex-readme/blob/main/codex_readme.py,12,10
/tom-doerr/codex-readme/blob/main/requirements.txt,4,4
/tom-doerr/codex-readme/issues/1,4,2
/tom-doerr/codex-readme/blob/main/setup.py,3,3
/tom-doerr/codex-readme/commits/main,3,2
/tom-doerr/codex-readme/blob/main/.gitignore,3,1
/tom-doerr/codex-readme/blob/main/LICENSE,2,2
/tom-doerr/codex-readme/find/main,2,1
/tom-doerr/codex-readme/blob/4528cab2b7bbcd2c8c2dc714516255defa66c859/codex_readme.py,1,1
