url_path,views_total,views_unique
/tom-doerr/codex-readme,180,149
/tom-doerr/codex-readme/blob/main/codex_readme.py,16,13
/tom-doerr/codex-readme/issues/1,11,9
/tom-doerr/codex-readme/blob/main/setup.py,8,7
/tom-doerr/codex-readme/blob/main/requirements.txt,5,4
/tom-doerr/codex-readme/blob/4528cab2b7bbcd2c8c2dc714516255defa66c859/codex_readme.py,5,2
/tom-doerr/codex-readme/blob/main/README.md,4,4
/tom-doerr/codex-readme/blob/main/LICENSE,3,3
/tom-doerr/codex-readme/search,3,1
/tom-doerr/codex-readme/actions,2,2
