url_path,views_total,views_unique
/tom-doerr/codex-readme,214,186
/tom-doerr/codex-readme/blob/main/codex_readme.py,22,14
/tom-doerr/codex-readme/issues/1,11,10
/tom-doerr/codex-readme/blob/main/requirements.txt,6,5
/tom-doerr/codex-readme/blob/main/LICENSE,2,2
/tom-doerr/codex-readme/blob/main/setup.py,2,2
/tom-doerr/codex-readme/commit/4528cab2b7bbcd2c8c2dc714516255defa66c859,2,2
/tom-doerr/codex-readme/commits/develop,1,1
/tom-doerr/codex-readme/commits/main,1,1
/tom-doerr/codex-readme/find/main,1,1
