url_path,views_total,views_unique
/tom-doerr/codex-readme,171,133
/tom-doerr/codex-readme/blob/main/codex_readme.py,28,23
/tom-doerr/codex-readme/blob/main/requirements.txt,10,10
/tom-doerr/codex-readme/issues/1,9,8
/tom-doerr/codex-readme/blob/main/setup.py,8,8
/tom-doerr/codex-readme/blob/main/README.md,8,7
/tom-doerr/codex-readme/issues,5,3
/tom-doerr/codex-readme/blob/main/LICENSE,2,2
/tom-doerr/codex-readme/pulls,2,1
/tom-doerr/codex-readme/blob/4528cab2b7bbcd2c8c2dc714516255defa66c859/codex_readme.py,1,1
