url_path,views_total,views_unique
/tom-doerr/codex-readme,117,96
/tom-doerr/codex-readme/blob/main/codex_readme.py,13,11
/tom-doerr/codex-readme/issues/1,11,9
/tom-doerr/codex-readme/blob/main/setup.py,6,5
/tom-doerr/codex-readme/blob/main/requirements.txt,4,3
/tom-doerr/codex-readme/search,3,1
/tom-doerr/codex-readme/blob/main/LICENSE,2,2
/tom-doerr/codex-readme/actions,1,1
/tom-doerr/codex-readme/blob/4528cab2b7bbcd2c8c2dc714516255defa66c859/codex_readme.py,1,1
/tom-doerr/codex-readme/blob/main/README.md,1,1
