time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-15 00:00:00+00:00,3.0,3.0,14,10
2023-04-16 00:00:00+00:00,,,17,12
2023-04-17 00:00:00+00:00,2.0,2.0,12,11
2023-04-18 00:00:00+00:00,1.0,1.0,19,11
2023-04-19 00:00:00+00:00,2.0,1.0,20,10
2023-04-20 00:00:00+00:00,2.0,2.0,28,11
2023-04-21 00:00:00+00:00,4.0,2.0,17,13
2023-04-22 00:00:00+00:00,1.0,1.0,8,7
2023-04-23 00:00:00+00:00,1.0,1.0,11,8
2023-04-24 00:00:00+00:00,1.0,1.0,21,16
2023-04-25 00:00:00+00:00,3.0,3.0,29,20
2023-04-26 00:00:00+00:00,2.0,2.0,48,13
2023-04-27 00:00:00+00:00,3.0,3.0,42,13
2023-04-28 00:00:00+00:00,,,8,4
