url_path,views_total,views_unique
/tom-doerr/codex-readme,58,45
/tom-doerr/codex-readme/blob/main/codex_readme.py,16,14
/tom-doerr/codex-readme/issues/1,4,3
/tom-doerr/codex-readme/blob/main/setup.py,3,3
/tom-doerr/codex-readme/blob/main/requirements.txt,2,2
/tom-doerr/codex-readme/blob/4528cab2b7bbcd2c8c2dc714516255defa66c859/codex_readme.py,1,1
/tom-doerr/codex-readme/blob/main/README.md,1,1
/tom-doerr/codex-readme/fork,1,1
