time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-05 00:00:00+00:00,5,3,25,10
2023-02-06 00:00:00+00:00,7,4,58,21
2023-02-07 00:00:00+00:00,2,2,18,13
2023-02-08 00:00:00+00:00,9,5,31,12
2023-02-09 00:00:00+00:00,4,4,27,17
2023-02-10 00:00:00+00:00,7,2,31,19
2023-02-11 00:00:00+00:00,10,6,52,11
2023-02-12 00:00:00+00:00,9,4,23,17
2023-02-13 00:00:00+00:00,5,4,38,18
2023-02-14 00:00:00+00:00,4,2,84,18
2023-02-15 00:00:00+00:00,2,2,27,14
2023-02-16 00:00:00+00:00,5,5,22,14
2023-02-17 00:00:00+00:00,4,1,13,11
2023-02-18 00:00:00+00:00,7,2,15,6
