time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-17 00:00:00+00:00,,,20,12
2022-03-18 00:00:00+00:00,,,7,7
2022-03-19 00:00:00+00:00,,,2,2
2022-03-20 00:00:00+00:00,1.0,1.0,7,6
2022-03-21 00:00:00+00:00,1.0,1.0,8,6
2022-03-22 00:00:00+00:00,1.0,1.0,13,8
2022-03-23 00:00:00+00:00,,,6,6
2022-03-24 00:00:00+00:00,2.0,2.0,10,6
2022-03-25 00:00:00+00:00,2.0,2.0,11,8
2022-03-26 00:00:00+00:00,6.0,1.0,3,2
2022-03-27 00:00:00+00:00,,,3,2
2022-03-28 00:00:00+00:00,1.0,1.0,20,8
2022-03-29 00:00:00+00:00,3.0,1.0,17,6
2022-03-30 00:00:00+00:00,,,18,10
